id,disc_number,duration_ms,explicit,name,track_number,type,popularity,artist_external_urls,artist_href,artist_id,artist_name,artist_type,artist_uri,album_id,album_album_type,album_name,album_release_date,album_release_date_precision,album_total_tracks,album_type,album_artist_external_urls,album_artist_href,album_artist_id,album_artist_name,album_artist_type,album_artist_uri,added_date
0n1KK4wHT71v40NBhOCbfz,1,294518,False,Last,1,track,50,https://open.spotify.com/artist/2ABBMkcUeM9hdpimo86mo6,https://api.spotify.com/v1/artists/2ABBMkcUeM9hdpimo86mo6,2ABBMkcUeM9hdpimo86mo6,Tourist,artist,spotify:artist:2ABBMkcUeM9hdpimo86mo6,7fW6TfL1hggdSSrCA9h13E,single,Last,2020-06-24,day,1,album,https://open.spotify.com/artist/2ABBMkcUeM9hdpimo86mo6,https://api.spotify.com/v1/artists/2ABBMkcUeM9hdpimo86mo6,2ABBMkcUeM9hdpimo86mo6,Tourist,artist,spotify:artist:2ABBMkcUeM9hdpimo86mo6,2020-12-14T18:06:49Z
44462o21tR1bs7xDLLaurG,1,188133,False,Motel,9,track,42,https://open.spotify.com/artist/6LiV1FV5nwdp3k6n3LMoQn,https://api.spotify.com/v1/artists/6LiV1FV5nwdp3k6n3LMoQn,6LiV1FV5nwdp3k6n3LMoQn,J. Bernardt,artist,spotify:artist:6LiV1FV5nwdp3k6n3LMoQn,4SDpkwpZUml5RpQOz44dsf,album,Running Days,2017-06-16,day,10,album,https://open.spotify.com/artist/6LiV1FV5nwdp3k6n3LMoQn,https://api.spotify.com/v1/artists/6LiV1FV5nwdp3k6n3LMoQn,6LiV1FV5nwdp3k6n3LMoQn,J. Bernardt,artist,spotify:artist:6LiV1FV5nwdp3k6n3LMoQn,2020-12-17T23:14:06Z
4VaICpePVA67Wqvv8SryFr,1,218466,False,Road Of The Lonely Ones,1,track,59,https://open.spotify.com/artist/5LhTec3c7dcqBvpLRWbMcf,https://api.spotify.com/v1/artists/5LhTec3c7dcqBvpLRWbMcf,5LhTec3c7dcqBvpLRWbMcf,Madlib,artist,spotify:artist:5LhTec3c7dcqBvpLRWbMcf,28MiwOX8Od693aOkUnEgsf,single,Road Of The Lonely Ones,2020-12-14,day,1,album,https://open.spotify.com/artist/5LhTec3c7dcqBvpLRWbMcf,https://api.spotify.com/v1/artists/5LhTec3c7dcqBvpLRWbMcf,5LhTec3c7dcqBvpLRWbMcf,Madlib,artist,spotify:artist:5LhTec3c7dcqBvpLRWbMcf,2020-12-19T11:52:03Z
71euNsYxKwEwZ3FvU0MTnm,1,285896,False,Sweet Little Lie,1,track,38,https://open.spotify.com/artist/5gqhueRUZEa7VDnQt4HODp,https://api.spotify.com/v1/artists/5gqhueRUZEa7VDnQt4HODp,5gqhueRUZEa7VDnQt4HODp,Nils Frahm,artist,spotify:artist:5gqhueRUZEa7VDnQt4HODp,2C2LdCgWMw6MkJ5RGJi5eg,single,Encores 2,2019-01-25,day,4,album,https://open.spotify.com/artist/5gqhueRUZEa7VDnQt4HODp,https://api.spotify.com/v1/artists/5gqhueRUZEa7VDnQt4HODp,5gqhueRUZEa7VDnQt4HODp,Nils Frahm,artist,spotify:artist:5gqhueRUZEa7VDnQt4HODp,2020-12-26T13:04:11Z
6E3LpH76ktj2DfR12AWhzn,1,626240,False,Just Ask the Lonely,5,track,19,https://open.spotify.com/artist/3BvWiyLcyLMoOIm2U8HepI,https://api.spotify.com/v1/artists/3BvWiyLcyLMoOIm2U8HepI,3BvWiyLcyLMoOIm2U8HepI,Omar S,artist,spotify:artist:3BvWiyLcyLMoOIm2U8HepI,4bLBu7shPWYa31mcobFH0u,album,Just Ask the Lonely (005),2017-08-02,day,9,album,https://open.spotify.com/artist/3BvWiyLcyLMoOIm2U8HepI,https://api.spotify.com/v1/artists/3BvWiyLcyLMoOIm2U8HepI,3BvWiyLcyLMoOIm2U8HepI,Omar S,artist,spotify:artist:3BvWiyLcyLMoOIm2U8HepI,2020-12-26T16:12:59Z
4rmNDpeqH5M4S84peoaJH9,1,278986,False,Wenn du liebst - Christian Löffler Remix,1,track,21,https://open.spotify.com/artist/0iFq8SzyZaaQ2Fn6CLDxqW,https://api.spotify.com/v1/artists/0iFq8SzyZaaQ2Fn6CLDxqW,0iFq8SzyZaaQ2Fn6CLDxqW,Clueso,artist,spotify:artist:0iFq8SzyZaaQ2Fn6CLDxqW,03d4MlFTF9RKU1jY0ixovi,single,Wenn du liebst (Christian Löffler Remix),2017-04-21,day,1,album,https://open.spotify.com/artist/0iFq8SzyZaaQ2Fn6CLDxqW,https://api.spotify.com/v1/artists/0iFq8SzyZaaQ2Fn6CLDxqW,0iFq8SzyZaaQ2Fn6CLDxqW,Clueso,artist,spotify:artist:0iFq8SzyZaaQ2Fn6CLDxqW,2020-12-26T16:21:37Z
5uaHxu2wJ4YRk37bHWtbTX,1,159443,False,Pingpxng,2,track,36,https://open.spotify.com/artist/2sLMYvxNmHIYNx6re1WUM2,https://api.spotify.com/v1/artists/2sLMYvxNmHIYNx6re1WUM2,2sLMYvxNmHIYNx6re1WUM2,Yin Yin,artist,spotify:artist:2sLMYvxNmHIYNx6re1WUM2,4jH5VMBiLa3LqYASv9QQWK,album,The Rabbit That Hunts Tigers,2019-10-18,day,13,album,https://open.spotify.com/artist/2sLMYvxNmHIYNx6re1WUM2,https://api.spotify.com/v1/artists/2sLMYvxNmHIYNx6re1WUM2,2sLMYvxNmHIYNx6re1WUM2,Yin Yin,artist,spotify:artist:2sLMYvxNmHIYNx6re1WUM2,2021-01-11T15:40:01Z
4AH8GJVosfrbfhe5NVTAnx,1,259301,True,Easy Rider,13,track,52,https://open.spotify.com/artist/7BMccF0hQFBpP6417k1OtQ,https://api.spotify.com/v1/artists/7BMccF0hQFBpP6417k1OtQ,7BMccF0hQFBpP6417k1OtQ,Action Bronson,artist,spotify:artist:7BMccF0hQFBpP6417k1OtQ,7ijgeLAW3W3vZ9jf6tozFq,album,Mr. Wonderful,2015-03-23,day,13,album,https://open.spotify.com/artist/7BMccF0hQFBpP6417k1OtQ,https://api.spotify.com/v1/artists/7BMccF0hQFBpP6417k1OtQ,7BMccF0hQFBpP6417k1OtQ,Action Bronson,artist,spotify:artist:7BMccF0hQFBpP6417k1OtQ,2021-01-18T23:08:05Z
3RQA5wzKg5MFqoRJytmYEN,1,124096,False,Lost in the Night,5,track,39,https://open.spotify.com/artist/48vDIufGC8ujPuBiTxY8dm,https://api.spotify.com/v1/artists/48vDIufGC8ujPuBiTxY8dm,48vDIufGC8ujPuBiTxY8dm,Palace,artist,spotify:artist:48vDIufGC8ujPuBiTxY8dm,50lmuZTx1lNcNFjY2cr3HB,single,Lost in the Night,2014-10-20,day,5,album,https://open.spotify.com/artist/48vDIufGC8ujPuBiTxY8dm,https://api.spotify.com/v1/artists/48vDIufGC8ujPuBiTxY8dm,48vDIufGC8ujPuBiTxY8dm,Palace,artist,spotify:artist:48vDIufGC8ujPuBiTxY8dm,2021-01-21T10:32:47Z
09ZjxGe3Hc6NU1YpsYAfSF,1,221706,False,Floating By,4,track,28,https://open.spotify.com/artist/5juOkIIy18sFw9L30syt1Z,https://api.spotify.com/v1/artists/5juOkIIy18sFw9L30syt1Z,5juOkIIy18sFw9L30syt1Z,Washed Out,artist,spotify:artist:5juOkIIy18sFw9L30syt1Z,6vH2HRnhMGcKpefyjNwXeJ,album,Mister Mellow,2017-06-30,day,12,album,https://open.spotify.com/artist/5juOkIIy18sFw9L30syt1Z,https://api.spotify.com/v1/artists/5juOkIIy18sFw9L30syt1Z,5juOkIIy18sFw9L30syt1Z,Washed Out,artist,spotify:artist:5juOkIIy18sFw9L30syt1Z,2021-01-21T11:15:26Z
